unique_id,metric,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,NBEATS,NHITS,Chronos
hotel_42,bias,-0.11200115673799885,-0.057865818392134186,-0.13771824474278344,-0.043282083428451086,0.017781073574802086,-0.08230235494324208,-0.04843590539131914,0.010652943565674502
hotel_42,mae,0.2825621746674378,0.29170040485829957,0.2709041382417695,0.22107102566900952,0.2119042626583938,0.2466440388212113,0.2305456743221741,0.20058058067389206
hotel_42,mape,0.4805921362094948,0.5240136821985307,0.4429062776712702,0.4195236462901521,0.41910104623021704,0.43338685398831417,0.42509411802551744,0.4048992069094511
hotel_42,rmse,0.3407715085866512,0.3517094296852316,0.3233582694221783,0.2563776107214387,0.24749966121977432,0.2952192028956425,0.2763655270706564,0.22968078454862786
hotel_49,bias,0.08197130380536496,0.0464129756706176,0.0353983426659382,0.055329130426660746,0.07549916849736303,0.06636408494363631,0.05986523384870921,0.062374366727830165
hotel_49,mae,0.09831565814098567,0.09320024953212727,0.07828940220367667,0.07983929005170008,0.08955351048384645,0.08433176343208985,0.08201557910412606,0.08407960129170886
hotel_49,mape,0.1464569901400939,0.136132572972165,0.11344632101313772,0.11923679998426626,0.13206565323759467,0.1253741146926836,0.12193710071841217,0.1255162915959693
hotel_49,rmse,0.11375486716191956,0.11073021476642306,0.092942559173194,0.09403635359748357,0.10732782338797023,0.09916585003829234,0.09722307900008485,0.09887951579095958
hotel_56,bias,0.017797619047619055,-0.003630952380952378,-0.01266627970148968,-0.012868217162626566,0.0031720272574430075,0.011060910906110496,0.015681614109448034,0.022152566824640552
hotel_56,mae,0.06089285714285715,0.06244047619047619,0.06493355105470357,0.06565301706574105,0.052300584037173095,0.05130473988396781,0.05383286507356735,0.05387873493489766
hotel_56,mape,0.07282582397244969,0.07173466463619838,0.07301679970631895,0.07472729704951213,0.06116030837686309,0.06080899034847702,0.06375341581455195,0.06522721095586213
hotel_56,rmse,0.08519313421915463,0.09265269293789506,0.08156305107470288,0.07844014824803014,0.07039596769453979,0.07118028347546837,0.07389298722984922,0.0776148992100634
hotel_63,bias,0.10285714285714287,-0.028063492063492068,-0.01240943902371155,0.0005058784844907682,0.006261493767587764,0.001964246679866127,-0.004473849826388887,0.008948981640830874
hotel_63,mae,0.1737142857142857,0.17936507936507934,0.14186446619271958,0.15266249395494896,0.1450815145011631,0.13154995351178306,0.13874510950133914,0.1306535952621036
hotel_63,mape,0.3029948525555046,0.2686636940769015,0.21643517612442528,0.24169499567264346,0.22748893161231046,0.20717522053328213,0.21591659132709803,0.20677818547162188
hotel_63,rmse,0.2230392914391699,0.22296696903706742,0.17037217807604704,0.1793577392465696,0.17694568128815466,0.16024947874390277,0.16605939390477825,0.1602513725098004
hotel_7,bias,0.15774778966961378,0.04416007445323407,0.04591221250189721,0.007577630711690616,0.005027402460094374,0.020469990776909842,0.03223441943505466,0.014744783916435666
hotel_7,mae,0.18206142391810146,0.1419962773382969,0.13728291703320739,0.12256775441986709,0.16548543429545304,0.13351410516906528,0.13508635531918511,0.11974609546075594
hotel_7,mape,0.5059417706363588,0.3458506950949234,0.34681024284118755,0.29888291616298457,0.38976901423096255,0.3247225872701597,0.3375590735559041,0.29115738423213905
